// hex values for blocks in defs/blocks.png
// in order: temperature fuelamount tiletype

// high fire
FF 20 00,FF 40 01,FF 80 02

// med fire: grass, tree, house
80 15 00,80 40 01,80 80 02

// low fire: grass, tree, house
40 15 00,40 40 01,40 80 02

// burnt: grass, tree, house
20 05 00,20 05 01,20 05 02

// normal: grass, tree, house
//(grass has reduced fuel by design)
20 18 00,20 40 01,20 80 02

// lush:
// (grass has reduced fuel by design)
20 40 00,20 80 01,20 FF 02

// any line containing // is a comment
